Player,Elo,Games,Wins,Loss,%,Attended,Tournaments
insidious vince,1474,2,0,2,0,1,CEO
xiaowei xia mohai,1474,2,0,2,0,1,CPTA Shanghai
master sarayut,1474,2,0,2,0,1,Milan Games Week
fgerizu,1474,2,0,2,0,1,First Attack
joel hosty05,1474,2,0,2,0,1,CPTA Shanghai
罗国樑 robert仔,1474,2,0,2,0,1,HK
kush95,1474,2,0,2,0,1,Milan Games Week
marzipan,1474,2,0,2,0,1,Hypespotting
crash,1474,2,0,2,0,1,Milan Games Week
steve,1474,2,0,2,0,1,Hypespotting
pand089,1474,2,0,2,0,1,Milan Games Week
nutri96,1474,2,0,2,0,1,Milan Games Week
kyorikusagami,1474,2,0,2,0,1,CEO
exp scythe,1474,2,0,2,0,1,Combo Breaker
flupty,1474,2,0,2,0,1,Hypespotting
the last hairbender,1474,2,0,2,0,1,Combo Breaker
maes alexis hittheplane,1474,2,0,2,0,1,HK
めりっぷ,1474,6,2,4,33,1,Nine States
thores,1474,2,0,2,0,1,Combo Breaker
silverhydra,1474,2,0,2,0,1,Combo Breaker
gr danimal,1474,2,0,2,0,1,Combo Breaker
od|dbiohazard,1474,2,0,2,0,1,First Attack
ansatsusha,1474,2,0,2,0,1,Hypespotting
laoghe,1474,2,0,2,0,1,Milan Games Week
lsteveboxl,1474,2,0,2,0,1,Hypespotting
lee ka ho ys,1474,2,0,2,0,1,HK
hugo-andore,1474,2,0,2,0,1,First Attack
kiandres,1474,2,0,2,0,1,Milan Games Week
snoopylooker,1474,2,0,2,0,1,Hypespotting
b&b mm_food,1474,2,0,2,0,1,Combo Breaker
supermrjmt,1474,2,0,2,0,1,Combo Breaker
aof e-dawg,1474,2,0,2,0,1,CEO
drewmorri7,1474,2,0,2,0,1,Hypespotting
yong zhu ddj|yong,1474,2,0,2,0,1,CPTA Shanghai
tuyetmiles9 22,1474,2,0,2,0,1,CPTA Shanghai
ah xi,1474,2,0,2,0,1,CPTA Shanghai
ed|hawxx is rippin,1474,2,0,2,0,1,Hypespotting
phantom,1474,2,0,2,0,1,CEO
gohancachat,1474,2,0,2,0,1,CEO
冯云龙 elaialong,1474,2,0,2,0,1,CPTA Shanghai
premiumtax,1474,2,0,2,0,1,CEO
rudetuna,1474,2,0,2,0,1,Combo Breaker
drm steikachay,1474,2,0,2,0,1,Hypespotting
gh dsc thenyion,1474,2,0,2,0,1,CEO
berzack,1474,2,0,2,0,1,True Challengers Costa Rica
tss atma,1474,2,0,2,0,1,Hypespotting
shirkerbee,1474,2,0,2,0,1,Hypespotting
noahspencer84 19,1474,2,0,2,0,1,CPTA Shanghai
derek magee,1474,2,0,2,0,1,SCR
superiorshadow,1473,2,0,2,0,1,CEO
biscuit,1473,2,0,2,0,1,Northwest Majors
rsd beef,1473,2,0,2,0,1,Red Fight District
f99|driftwood,1473,5,1,4,20,3,Final Round;EVO;SCR
smbf|vertigo,1473,2,0,2,0,1,VS Fighting
mba|sono,1473,6,2,4,33,2,Hypespotting;VS Fighting
krono,1473,2,0,2,0,1,Combo Breaker
billy mcgee,1473,2,0,2,0,1,Combo Breaker
beppe yagami79,1473,2,0,2,0,1,Milan Games Week
ua|m.betty,1473,4,1,3,25,1,Texas Showdown
dj storm,1473,2,0,2,0,1,CPTA Last Chance Qualifier
marco mazzanti,1473,2,0,2,0,1,Milan Games Week
star,1473,2,0,2,0,1,VS Fighting
hon yu sum troublemaker,1473,2,0,2,0,1,HK
man filth,1473,2,0,2,0,1,Red Fight District
tekkon,1473,2,0,2,0,1,VS Fighting
deibu,1473,2,0,2,0,1,VS Fighting
jkkk,1473,2,0,2,0,1,CPTA KR
volkmair,1473,2,0,2,0,1,VS Fighting
mba|the bp tank,1473,6,2,4,33,2,Hypespotting;VS Fighting
chima,1473,2,0,2,0,1,Combo Breaker
captain steel,1473,2,0,2,0,1,VS Fighting
jwoods,1473,2,0,2,0,1,VS Fighting
dark mavid,1472,2,0,2,0,1,TFC
dreadleif,1472,7,2,5,28,1,Dreamhack Summer
pedro unchained,1472,7,2,5,28,1,Dreamhack Summer
jay,1472,10,4,6,40,3,CEO;Taiwan;Ultra Hyakkishu Cup
iahadima,1471,5,1,4,20,1,Dreamhack Summer
floe,1470,3,0,3,0,2,NorCal Regionals;EVO
agi.rsd.charmingrogue,1470,5,1,4,20,1,Dreamhack Summer
remes,1470,10,3,7,30,1,Dreamhack Summer
shonuff122,1467,5,1,4,20,2,CEO;TFC
flapjacket,1467,3,0,3,0,1,NorCal Regionals
shinobee,1467,8,2,6,25,3,NorCal Regionals;CPTA KR;SCR
dr. cat,1467,5,1,4,20,1,Dreamhack Summer
shivryuken,1466,5,1,4,20,2,Hypespotting;EGX
d.veritas,1466,5,1,4,20,2,CEO;TFC
tm robofobe,1466,10,3,7,30,2,Dreamhack Summer;Dreamhack Winter
潘权迪 xiaoye,1465,5,1,4,20,2,CPTA Shanghai;HK
cg projo,1465,5,1,4,20,2,Combo Breaker;CEO
agilo,1465,8,2,6,25,2,Dreamhack Summer;Red Fight District
itz mark kin4,1464,3,0,3,0,1,Texas Showdown
クンスト,1464,5,1,4,20,2,Nine States;KSB 2015
yuki,1464,5,1,4,20,2,CEO;Saigon Cup
warbio,1464,17,6,11,35,3,Dreamhack Summer;Red Fight District;Dreamhack Winter
pewpewu,1463,5,1,4,20,2,NorCal Regionals;Northwest Majors
seventh trumpet,1463,5,1,4,20,2,NorCal Regionals;Northwest Majors
bass ns,1463,5,1,4,20,2,Texas Showdown;Combo Breaker
ghodere,1463,5,1,4,20,2,NorCal Regionals;SCR
prowners,1463,4,0,4,0,1,Dreamhack Winter
vdon,1463,5,1,4,20,2,NorCal Regionals;Northwest Majors
rst|launchpad mcross,1462,5,1,4,20,2,Hypespotting;VS Fighting
rauce,1462,3,0,3,0,1,Texas Showdown
shin oni,1462,5,1,4,20,2,CEO;First Attack
elicota,1462,3,0,3,0,1,SCR
du ma guile,1462,3,0,3,0,1,SCR
kdit|ren,1461,7,2,5,28,3,Texas Showdown;EVO;EGX
0ctopus0nfire,1460,4,0,4,0,2,CEO;Summer Jam
doxus,1460,12,4,8,33,2,Dreamhack Summer;Dreamhack Winter
thwisteh,1460,4,0,4,0,1,Dreamhack Winter
maven,1459,4,0,4,0,1,Dreamhack Winter
196|patrik,1459,4,0,4,0,1,Dreamhack Winter
spabobin,1457,19,7,12,36,5,Nine States;CPTA KR;KSB 2015;TFC;SCR
张琦 xiyiji,1457,4,0,4,0,1,CPTA Shanghai
hyde,1457,4,0,4,0,2,Nine States;Ultra Hyakkishu Cup
ニア,1457,8,2,6,25,1,Nine States
audriolen,1457,4,0,4,0,2,NorCal Regionals;SCR
fgdojo|ninio,1457,4,0,4,0,1,Dreamhack Winter
pd|n4us,1456,8,2,6,25,3,NorCal Regionals;Northwest Majors;SCR
nake,1456,6,1,5,16,1,Dreamhack Summer
maguro,1456,4,0,4,0,1,Dreamhack Winter
kata,1455,4,0,4,0,1,Dreamhack Winter
kavorca,1454,4,0,4,0,1,Dreamhack Winter
opostrophe,1454,4,0,4,0,1,Dreamhack Winter
ronnyrundspark,1454,4,0,4,0,1,Dreamhack Winter
kilmer,1453,4,0,4,0,1,Dreamhack Winter
yip kai cheong barlowlism,1453,4,0,4,0,1,HK
crosshatched,1453,4,0,4,0,1,Dreamhack Winter
readyforpowwow,1452,4,0,4,0,2,Texas Showdown;SCR
gustavo,1451,4,0,4,0,1,Dreamhack Winter
op|kayjay,1451,4,0,4,0,1,Dreamhack Winter
theflyingcheese,1451,4,0,4,0,1,Nine States
ムラヲ,1451,4,0,4,0,1,Nine States
385wdb|beermir,1450,4,0,4,0,2,Northwest Majors;CEO
ifd delusion,1450,4,0,4,0,2,NorCal Regionals;CEO
radirgy,1450,4,0,4,0,1,VS Fighting
ikea_patrik,1449,5,0,5,0,1,Dreamhack Summer
pr0digy_013,1449,5,0,5,0,1,Dreamhack Summer
james deen,1448,9,2,7,22,2,Dreamhack Summer;Dreamhack Winter
qphj,1447,5,0,5,0,1,Dreamhack Winter
archiba,1446,5,0,5,0,1,Dreamhack Summer
paranoiar,1446,5,0,5,0,1,Dreamhack Summer
dragonfangs,1443,5,0,5,0,1,Dreamhack Summer
pylo,1443,5,0,5,0,1,Dreamhack Summer
jeparianen,1441,5,0,5,0,1,Dreamhack Summer
あきやま,1426,6,0,6,0,1,Nine States
