winner,rounds,loser
VGP Joe Love,2-0,PHS Slip N Slide
Hebrew Hammer,2-0,SETX | [KF] @IWasBlocking
TSS Marsh D Teach,2-0,Crisium
CuBlanco,2-0,GameGuys Danny Express
TSS Marsh D Teach,2-1,PHS Slip N Slide
CuBlanco,2-0,VGP Joe Love
Hebrew Hammer,2-1,Macto
Hebrew Hammer,2-0,GameGuys Danny Express
TSS Marsh D Teach,2-0,Hebrew Hammer
TSS Marsh D Teach,2-1,VGP Joe Love
TSS HBIC,2-0,UCC | Mattikus
Re: Dandy Cage,2-0,[KF] MDRM
REN,2-0,UA | MrHoward123
Tampa Bison,2-0,TSS HBIC
Re: Dandy Cage,2-0,SETX - MuGS
BrolyLegs,2-0,REN
Tampa Bison,2-0,Re: Dandy Cage
REN,2-0,[KF] MDRM
online scrub | kaos,2-1,Mr. Shoushi
SETX - MuGS,2-0,UA | MrHoward123
Mr. Shoushi,2-0,TSS HBIC
online scrub | kaos,2-0,HyperSurge
Mr. Shoushi,2-0,SETX - MuGS
BrolyLegs,2-0,online scrub | kaos
HyperSurge,2-0,UCC | Mattikus
Tampa Bison,2-1,BrolyLegs
HyperSurge,2-0,REN
HyperSurge,2-0,Re: Dandy Cage
online scrub | kaos,2-0,Mr. Shoushi
HyperSurge,2-0,online scrub | kaos
BrolyLegs,2-1,HyperSurge
GMD Daydreamer,2-1,itz mark kin4
Rida,2-0,Angel
UA | Wholio,2-1,Chris Belman
UA | Wholio,2-1,GG.Sherryjenix
Tommy Gunzss,2-0,GMD Daydreamer
BSida,2-0,Rauce
Tommy Gunzss,2-0,UA | Wholio
BSida,2-0,SETX | HD
Rida,2-0,itz mark kin4
GG.Sherryjenix,2-0,Rauce
GG.Sherryjenix,2-0,Rauce
Angel,2-0,GMD Daydreamer
Rida,2-0,itz mark kin4
Chris Belman,2-0,SETX | HD
Rida,2-0,Chris Belman
GG.Sherryjenix,2-0,Angel
VGP NASHFAN,2-0,BSida
Rida,2-0,UA | Wholio
VGP NASHFAN,2-0,Tommy Gunzss
BSida,2-0,GG.Sherryjenix
Tommy Gunzss,2-0,BSida
illoopail,2-0,SETX | Dlowe
DL | Four Wude,2-0,illoopail
Samzo,2-0,TeamSeaslug
UA | M.Betty,2-0,Ivanpants
Swirlyglasses,2-0,TSS Brother Joshua
Chrisdat,2-0,Swirlyglasses
The Professional,2-0,UA | M.Betty
DL | Four Wude,2-0,Samzo
Ivanpants,2-0,TeamSeaslug
The Professional,2-1,Chrisdat
illoopail,2-0,TSS Brother Joshua
DL | Four Wude,2-0,The Professional
DL | Four Wude,2-0,The Professional
illoopail,2-1,Ivanpants
Swirlyglasses,2-0,SETX | Dlowe
SETX | Dlowe,2-0,UA | M.Betty
illoopail,2-1,Ivanpants
Chrisdat,2-0,illoopail
Swirlyglasses,2-0,UA | M.Betty
Swirlyglasses,2-0,Samzo
Chrisdat,2-0,Swirlyglasses
Chrisdat,2-1,The Professional
DJ_Malady,2-0,STYXTBM
Cupcake Panda,2-0,Peter Sauce
FinalsWeek,2-0,SETX SPURS21
Pauly Z,2-1,DJ_Malady
CCG Air,2-0,FinalsWeek
Lost boy,2-0,Beast Mode
VGP Integra,2-0,Cupcake Panda
FinalsWeek,2-0,STYXTBM
Peter Sauce,2-0,Beast Mode
CCG Air,2-0,Lost boy
DJ_Malady,2-0,SETX SPURS21
VGP Integra,2-0,Pauly Z
DJ_Malady,2-0,Cupcake Panda
FinalsWeek,2-0,Peter Sauce
Pauly Z,2-0,FinalsWeek
DJ_Malady,2-0,Lost boy
CCG Air,2-0,VGP Integra
DJ_Malady,2-1,Pauly Z
VGP Integra,2-0,DJ_Malady
GeoMonstaah,2-1,SETX | Tyler (yo.)
PTS Kool-aid,2-0,2IQ|Dangerous Person
Epic L GG Onisan,2-0,PHS Buster Chen
INS Dumbluck,2-1,Hibiki
Epic L GG Onisan,2-1,BE|Kane Blueriver
KungFuTreachery,2-0,PTS Kool-aid
HaMAGO,2-0,INS Dumbluck
BE|Kane Blueriver,2-0,Hibiki
HaMAGO,2-0,KungFuTreachery
GeoMonstaah,2-0,Bass NS
2IQ|Dangerous Person,2-0,Bass NS
PTS Kool-aid,2-0,SETX | Tyler (yo.)
PHS Buster Chen,2-0,INS Dumbluck
Epic L GG Onisan,2-0,GeoMonstaah
BE|Kane Blueriver,2-0,2IQ|Dangerous Person
HaMAGO,2-0,Epic L GG Onisan
BE|Kane Blueriver,2-0,KungFuTreachery
PTS Kool-aid,2-1,PHS Buster Chen
PTS Kool-aid,2-0,GeoMonstaah
BE|Kane Blueriver,2-0,PTS Kool-aid
Epic L GG Onisan,2-0,BE|Kane Blueriver
INFILTRATION,2-0,OD|Chairman
HaMAGO,2-0,Epic L.GG|Onisan
801 Strider,2-0,Coin Up|Ludovic
Hsien,2-0,LU|CaliPower
Magneto1080P,2-0,Liquid|NuckleDu
VGP|NASHFAN,2-0,Tommy Gunzss
EG|HelloKittyRicki,2-0,GOL|Krucial B
Tampa Bison,2-0,BrolyLegs
EG|JWong,2-0,Starwin
CCG|Air,2-0,VGP|Integra
Tempo|ChrisG,2-0,solidxpanda
CuBlanco,2-0,TSS|Marsh D Teach
Snake Eyez,2-0,Hunted Chimera
DL|Four Wude,2-0,Chrisdat
EG|K-Brad,2-0,Ip Man
MLSwear,2-0,VGP|cHaotix
Epic L.GG|Onisan,2-0,OD|Chairman
BrolyLegs,2-0,GOL|Krucial B
Hunted Chimera,2-0,TSS|Marsh D Teach
VGP|Integra,2-0,Starwin
801 Strider,2-1,Hsien
VGP|cHaotix,2-0,solidxpanda
LU|CaliPower,2-1,Coin Up|Ludovic
Ip Man,2-0,Chrisdat
Hsien,2-0,Ip Man
Liquid|NuckleDu,2-1,Tommy Gunzss
Magneto1080P,2-1,VGP|NASHFAN
INFILTRATION,2-0,HaMAGO
VGP|cHaotix,2-1,VGP|NASHFAN
EG|HelloKittyRicki,2-1,Tampa Bison
HaMAGO,2-0,Hunted Chimera
EG|JWong,2-1,CCG|Air
VGP|Integra,2-1,Tampa Bison
Tempo|ChrisG,2-1,MLSwear
EG|K-Brad,2-0,DL|Four Wude
CCG|Air,2-1,BrolyLegs
VGP|Integra,2-1,VGP|cHaotix
Liquid|NuckleDu,2-1,MLSwear
CCG|Air,2-0,Liquid|NuckleDu
Snake Eyez,2-1,CuBlanco
Hsien,2-0,HaMAGO
DL|Four Wude,2-1,LU|CaliPower
INFILTRATION,2-0,801 Strider
Epic L.GG|Onisan,2-1,CuBlanco
DL|Four Wude,2-1,Epic L.GG|Onisan
EG|HelloKittyRicki,2-0,Magneto1080P
801 Strider,2-0,CCG|Air
Tempo|ChrisG,2-1,EG|JWong
Hsien,2-1,EG|JWong
EG|K-Brad,2-1,Snake Eyez
Magneto1080P,2-1,DL|Four Wude
Snake Eyez,2-0,VGP|Integra
801 Strider,3-0,Magneto1080P
Snake Eyez,3-1,Hsien
INFILTRATION,3-1,EG|HelloKittyRicki
EG|K-Brad,3-2,Tempo|ChrisG
Snake Eyez,3-0,EG|HelloKittyRicki
801 Strider,3-2,Tempo|ChrisG
INFILTRATION,3-2,EG|K-Brad
Snake Eyez,3-0,801 Strider
Snake Eyez,3-1,EG|K-Brad
Snake Eyez,3-0,INFILTRATION
INFILTRATION,3-2,Snake Eyez
