winner,rounds,loser
KruZee,2-1,Chilli_Palmer
Khadell,2-0,Pootytangfl
BARS SIDA,2-0,EmmCub3d
Flash (Susini),2-0,Dr. Z
KIT Potato Salad,2-1,Mike Cue
KruZee,2-0,Juniblaze XXX
BARS SIDA,2-1,Khadell
Flash (Susini),2-0,Chemical Ali
KIT Potato Salad,2-0,Darkhonor90
NYC Yuusha,2-0,KruZee
BARS SIDA,2-0,DELFONIK
Flash (Susini),2-0,KIT Potato Salad
BARS SIDA,2-0,NYC Yuusha
Velociraptor,2-1,Flash (Susini)
BARS SIDA,2-0,GG Sherryjenix
Velociraptor,2-0,BARS SIDA
Velociraptor,2-1,ESPR FGA Mono
Starks,2-0,GP Romora
Falling Charlie,2-0,sonimatic14
Sir Reginald Bigglesworth,2-0,2002 PT Cruiser
Zay,2-0,Gentle Cam
The Mechanic,2-0,RM Narwhal
Hero of Time,2-0,Ex
Alex Myers,2-0,WA Private Joker
00G Juiceman,2-0,insidious Vince
CORN BootlegWinner,2-0,KyoriKusagami
#jarbo,2-0,GI_Vantinel
YOMI Dieminion,2-0,Starks
Falling Charlie,2-0,Sir Reginald Bigglesworth
Derrick Legend,2-0,Zay
The Mechanic,2-0,AOF E-Dawg
CCG Air,2-0,Hero of Time
Alex Myers,2-0,00G Juiceman
OG RLBS,2-0,CORN BootlegWinner
#jarbo,2-0,Knifelife
YOMI Dieminion,2-0,Falling Charlie
The Mechanic,2-0,Derrick Legend
CCG Air,2-0,Alex Myers
#jarbo,2-0,OG RLBS
CCG Air,2-0,#jarbo
YOMI Dieminion,2-0,The Mechanic
YOMI Dieminion,2-0,CCG Air
2002 PT Cruiser,2-0,sonimatic14
WA Private Joker,2-0,insidious Vince
Knifelife,2-0,GP Romora
CORN BootlegWinner,2-0,2002 PT Cruiser
00G Juiceman,2-0,Gentle Cam
Hero of Time,2-0,RM Narwhal
Ex,2-0,AOF E-Dawg
WA Private Joker,2-0,Zay
Sir Reginald Bigglesworth,2-0,KyoriKusagami
Starks,2-0,GI_Vantinel
CORN BootlegWinner,2-0,Knifelife
Hero of Time,2-0,00G Juiceman
WA Private Joker,2-0,Ex
Sir Reginald Bigglesworth,2-0,Starks
CORN BootlegWinner,2-0,Derrick Legend
Hero of Time,2-0,Falling Charlie
OG RLBS,2-0,WA Private Joker
Alex Myers,2-0,Sir Reginald Bigglesworth
Hero of Time,2-0,CORN BootlegWinner
Alex Myers,2-0,OG RLBS
Hero of Time,2-0,#jarbo
Alex Myers,2-0,The Mechanic
Alex Myers,2-0,Hero of Time
Alex Myers,2-0,CCG Air
RM EMP KDZ,2-0,CLTN SL1M
Tal,2-0,loseygosey
EXG Rosiechan92,2-0,Coin Up Phantom
Better Metal Dingo,2-0,Premiumtax
Revolver Dropsalot,2-0,DLLinFTL
SA TeamKhris,2-0,GH DSC TheNyion
Google_Deez,2-0,Yuki
Jono Dori,2-0,MorphToxic
ANBU EXKing,2-0,CG PROJO
Brian_F,2-0,0ctopus0nfire
Infiltration,2-0,RM EMP KDZ
Tal,2-0,EXG Rosiechan92
Pokchop,2-0,Better Metal Dingo
Revolver Dropsalot,2-1,Tokles
Julio,2-0,SA TeamKhris
Jono Dori,2-0,Google_Deez
TS Min,2-0,ANBU EXKing
Brian_F,2-0,Gohancachat
Infiltration,2-0,Tal
Pokchop,2-0,Revolver Dropsalot
Julio,2-0,Jono Dori
TS Min,2-0,Brian_F
Pokchop,2-0,Infiltration
Julio,2-1,TS Min
Julio,2-1,Pokchop
loseygosey,2-0,Coin Up Phantom
MorphToxic,2-0,Yuki
CLTN SL1M,2-0,Gohancachat
ANBU EXKing,2-0,loseygosey
Google_Deez,2-0,Premiumtax
SA TeamKhris,2-0,DLLinFTL
Tokles,2-1,GH DSC TheNyion
Better Metal Dingo,2-0,MorphToxic
CG PROJO,2-0,EXG Rosiechan92
RM EMP KDZ,2-1,0ctopus0nfire
ANBU EXKing,2-0,CLTN SL1M
SA TeamKhris,2-0,Google_Deez
Better Metal Dingo,2-0,Tokles
RM EMP KDZ,2-0,CG PROJO
ANBU EXKing,2-1,Revolver Dropsalot
SA TeamKhris,2-0,Tal
Brian_F,2-0,Better Metal Dingo
RM EMP KDZ,2-0,Jono Dori
SA TeamKhris,2-0,ANBU EXKing
Brian_F,2-0,RM EMP KDZ
TS Min,2-0,SA TeamKhris
Infiltration,2-1,Brian_F
Infiltration,2-0,TS Min
Infiltration,2-0,Pokchop
ANBU GasStationHobo,2-0,Grubbs
ItzSpammy,2-0,SolidSnakeR3D
Seinken,2-0,NWM LUEshi
Realistic,2-0,Jblaze
NSM FancyYancy,2-0,Other Scott
BT Viscant,2-0,Ashu J
TheBlackHombre,2-0,Ken-Kots
TA Psycho,2-0,BigBates
FRANK LOTION,2-0,Arson
Bloodzure,2-0,Danny Boy PERU
Bonchan,2-0,ANBU GasStationHobo
Seinken,2-0,ItzSpammy
Realistic,2-0,GIANTSWORD gllty
JMob,2-0,NSM FancyYancy
TSC Sanford Kelly,2-0,BT Viscant
TA Psycho,2-0,TheBlackHombre
BronxPuertoRock,2-0,FRANK LOTION
xXStealthSneakXx,2-0,Bloodzure
Bonchan,2-0,Seinken
Realistic,2-0,JMob
TSC Sanford Kelly,2-0,TA Psycho
BronxPuertoRock,2-0,xXStealthSneakXx
Bonchan,2-0,Realistic
TSC Sanford Kelly,2-0,xXStealthSneakXx
Bonchan,2-0,TSC Sanford Kelly
NWM LUEshi,2-0,SolidSnakeR3D
BigBates,2-0,Ken-Kots
Grubbs,2-0,Bloodzure
FRANK LOTION,2-0,NWM LUEshi
Jblaze,2-0,TheBlackHombre
BT Viscant,2-0,Other Scott
NSM FancyYancy,2-0,Ashu J
BigBates,2-0,GIANTSWORD gllty
Arson,2-0,ItzSpammy
ANBU GasStationHobo,2-0,Danny Boy PERU
FRANK LOTION,2-0,Grubbs
BT Viscant,2-0,Jblaze
BigBates,2-0,NSM FancyYancy
Arson,2-0,ANBU GasStationHobo
FRANK LOTION,2-0,JMob
BT Viscant,2-0,Seinken
TA Psycho,2-0,Arson
BT Viscant,2-0,FRANK LOTION
TSC Sanford Kelly,2-0,BronxPuertoRock
Bonchan,2-0,TSC Sanford Kelly
BigBates,2-0,xXStealthSneakXx
TA Psycho,2-0,BigBates
BronxPuertoRock,2-0,BT Viscant
TA Psycho,2-0,Realistic
TA Psycho,2-0,BronxPuertoRock
TSC Sanford Kelly,2-0,TA Psycho
iusedoom,2-0,Kingblack
