winner,rounds,loser
Mr.C,2-0,OmegaStriker
Epic GG Onisan,2-0,Keetro
SHO TheSolGoodGuy,2-0,HoM Philocypher
NE Miasma,,Angry Black
BAB URA BitchAssBitch,2-1,HaveControllerWillTravel
Liquid`NuckleDu,2-0,ColdVoid
Mr.C,2-0,Okira
Epic GG Onisan,2-0,SHO TheSolGoodGuy
BAB URA BitchAssBitch,2-1,NE Miasma
Liquid`NuckleDu,2-1,Mr.C
Epic GG Onisan,2-0,BAB URA BitchAssBitch
Liquid`NuckleDu,2-1,Epic GG Onisan
cities,2-0,HaveControllerWillTravel
cities,,Angry Black
Keetro,2-0,HoM Philocypher
OmegaStriker,2-0,Julian13
Ral,2-0,hotSoup
cities,2-0,Okira
Keetro,2-0,ColdVoid
OmegaStriker,2-0,NE Miasma
Ral,2-0,SHO TheSolGoodGuy
Keetro,2-0,cities
Ral,2-0,OmegaStriker
BAB URA BitchAssBitch,2-1,Keetro
Ral,2-1,Mr.C
BAB URA BitchAssBitch,2-1,Ral
Epic GG Onisan,2-0,BAB URA BitchAssBitch
NGamer3k,2-1,EE Eseif
Spriggan,2-0,NGamer3k
WFGA Higgs Bison,2-1,J Fabulous
kas_shadow,2-0,VS Roy
SRM h0oDLeSs,2-0,B&B Venison
CORN alucarD,2-0,Jiraiya Kurokaze
Callisto,2-0,M.A.D.E. GameOver
LFGC Maul,2-0,Frodo
Tong,2-1,DMC Macc
Spriggan,2-0,WFGA Higgs Bison
kas_shadow,2-0,SRM h0oDLeSs
CORN alucarD,2-0,Callisto
Tong,2-0,LFGC Maul
CORN alucarD,2-0,Tong
Spriggan,2-0,kas_shadow
CORN alucarD,2-0,Spriggan
EE Eseif,2-0,DMC Macc
EE Eseif,2-0,Frodo
M.A.D.E. GameOver,2-0,Jiraiya Kurokaze
VS Roy,2-0,B&B Venison
J Fabulous,2-1,NGamer3k
EE Eseif,2-1,SRM h0oDLeSs
WFGA Higgs Bison,2-1,M.A.D.E. GameOver
VS Roy,2-0,LFGC Maul
Callisto,2-0,J Fabulous
WFGA Higgs Bison,2-0,EE Eseif
Callisto,2-0,VS Roy
WFGA Higgs Bison,2-0,Tong
kas_shadow,2-0,Callisto
kas_shadow,2-1,WFGA Higgs Bison
Spriggan,2-0,kas_shadow
NE.PxG Synapsse,2-0,SJBM
MOR|RICO SUAVE,2-0,NE.PxG Synapsse
ric104,2-0,NB SlimeTime
Dave O,2-0,KJB The Hero
NinjaSpy,2-0,FinchoMatic
GIANTSWORD gllty,2-1,fibonacci
Holdy,,CG PROJO
IFD Humbag,2-0,BAB Yee Kwang Soo
Luis,2-1,LocoJoe
MOR|RICO SUAVE,2-0,ric104
Dave O,2-0,NinjaSpy
Holdy,2-1,GIANTSWORD gllty
Luis,2-0,IFD Humbag
MOR|RICO SUAVE,2-0,Dave O
Holdy,2-1,Luis
MOR|RICO SUAVE,2-0,Holdy
LocoJoe,2-0,SJBM
BAB Yee Kwang Soo,2-1,LocoJoe
fibonacci,,CG PROJO
FinchoMatic,2-0,KJB The Hero
NB SlimeTime,2-1,NE.PxG Synapsse
GIANTSWORD gllty,2-0,NB SlimeTime
IFD Humbag,2-1,FinchoMatic
ric104,2-0,fibonacci
BAB Yee Kwang Soo,2-1,NinjaSpy
BAB Yee Kwang Soo,2-1,ric104
GIANTSWORD gllty,2-0,IFD Humbag
GIANTSWORD gllty,2-0,Dave O
Luis,2-1,BAB Yee Kwang Soo
GIANTSWORD gllty,2-0,Luis
Holdy,2-1,GIANTSWORD gllty
Zer0isLife,,RapidBlade05
BAB Khangaroo,2-0,Zer0isLife
JaMarvelous,2-0,Sam Malone
No name 0_o,,DaRealSteven
jthamind,,J KING THA 1ST
SRM | The White Beast,2-0,@SpeedBrkr
「346Pro|ＹＡＳＥ」 FOG_E,2-0,Ramjam
Misak,2-0,TerryMC
#bajaboys FuLLBLeeD,2-0,Q
#bajaboys FuLLBLeeD,2-0,Misak
SRM | The White Beast,2-0,「346Pro|ＹＡＳＥ」 FOG_E
jthamind,,No name 0_o
BAB Khangaroo,2-0,JaMarvelous
BAB Khangaroo,2-0,jthamind
SRM | The White Beast,2-0,#bajaboys FuLLBLeeD
BAB Khangaroo,2-0,SRM | The White Beast
Q,2-0,RapidBlade05
Q,2-0,TerryMC
@SpeedBrkr,2-0,Ramjam
DaRealSteven,,J KING THA 1ST
Sam Malone,2-1,Zer0isLife
「346Pro|ＹＡＳＥ」 FOG_E,2-0,Sam Malone
Misak,2-0,DaRealSteven
@SpeedBrkr,2-0,JaMarvelous
Q,,No name 0_o
@SpeedBrkr,2-0,Q
「346Pro|ＹＡＳＥ」 FOG_E,2-0,Misak
「346Pro|ＹＡＳＥ」 FOG_E,2-1,jthamind
@SpeedBrkr,2-1,#bajaboys FuLLBLeeD
「346Pro|ＹＡＳＥ」 FOG_E,2-1,@SpeedBrkr
